source_id,source_album,source_artist,source_score,source_year1,source_year2,target_id,target_album,target_artist,target_score,target_year1,target_year2,target_rank,cosine_sim,source_year_master,target_year_master,source_score_cut,target_score_cut
18336,stranger than fiction,kevin gates,7.6,2013.0,,20048,ferg forever,a$ap ferg,6.4,2014.0,,1,0.9952063984287738,2013.0,2014.0,Good,Bad
18309,beach house 2,ty dolla $ign,6.7,2013.0,,20413,who's gonna get fucked first?,father,7.7,2015.0,,2,0.99276910648904,2013.0,2015.0,Good,Great
18219,run the jewels,run the jewels,8.5,2013.0,,19968,run the jewels 2,run the jewels,9.0,2014.0,,1,0.9946648158401438,2013.0,2014.0,Great,Great
18219,run the jewels,run the jewels,8.5,2013.0,,22745,run the jewels 3,run the jewels,8.6,2016.0,,2,0.9928924527842967,2013.0,2016.0,Great,Great
18154,blowout comb,digable planets,9.2,2013.0,,19297,good to be home,blu,6.5,2014.0,,1,0.9869051858384857,2013.0,2014.0,Great,Bad
18202,watching movies with the sound off,mac miller,7.0,2013.0,,19390,faces,mac miller,7.3,2014.0,,1,0.9905173453802371,2013.0,2014.0,Good,Good
18202,watching movies with the sound off,mac miller,7.0,2013.0,,19477,dark comedy,open mike eagle,8.0,2014.0,,2,0.9878049001752199,2013.0,2014.0,Good,Great
17588,born sinner,j. cole,6.0,2013.0,,20220,dark sky paradise,big sean,7.1,2015.0,,1,0.9954188656093845,2013.0,2015.0,Bad,Good
17925,indicud,kid cudi,4.0,2013.0,,20425,the album about nothing,wale,5.4,2015.0,,1,0.9928348377781877,2013.0,2015.0,Bad,Bad
17872,twelve reasons to die,ghostface killah & adrian younge,7.4,2013.0,,20722,twelve reasons to die ii,ghostface killah & adrian younge,7.2,2015.0,,1,0.9885121559108229,2013.0,2015.0,Good,Good
17872,twelve reasons to die,ghostface killah & adrian younge,7.4,2013.0,,20196,sour soul,"ghostface killah, badbadnotgood",6.2,2015.0,,2,0.9879995028655529,2013.0,2015.0,Good,Bad
17891,1017 thug,young thug,7.4,2013.0,,21099,slime season,young thug,7.6,2015.0,,1,0.9931575345104705,2013.0,2015.0,Good,Good
17891,1017 thug,young thug,7.4,2013.0,,20186,sorry 4 the wait 2,lil wayne,6.4,2015.0,,2,0.9930432375927534,2013.0,2015.0,Good,Bad
17794,noyork!,blu,8.1,2013.0,,19297,good to be home,blu,6.5,2014.0,,2,0.9934182903259872,2013.0,2014.0,Great,Bad
17884,the patriarch,deniro farrar,7.5,2013.0,,18930,piata,"madlib, freddie gibbs",8.0,2014.0,,1,0.9947701382187881,2013.0,2014.0,Good,Great
17808,the luca brasi story,kevin gates,8.0,2013.0,,20762,lucky 7,statik selektah,5.0,2015.0,,1,0.9950655719572519,2013.0,2015.0,Great,Bad
17808,the luca brasi story,kevin gates,8.0,2013.0,,20059,luca brasi 2,kevin gates,7.2,2014.0,,2,0.994112673093715,2013.0,2014.0,Great,Good
17758,wrath of caine,pusha t,7.2,2013.0,,21337,darkest before dawn,pusha t,8.2,2015.0,,2,0.9892605504111726,2013.0,2015.0,Good,Great
17716,indigoism,the underachievers,8.0,2013.0,,20998,evermore: the art of duality,the underachievers,7.5,2015.0,,2,0.9886595934829583,2013.0,2015.0,Great,Good
17682,fly zone,le1f,7.8,2013.0,,21109,riot boi,le1f,7.5,2015.0,,1,0.9895482341468503,2013.0,2015.0,Great,Good
17497,illmatic,nas,10.0,1994.0,2012.0,9729,hip hop is dead,nas,7.8,2006.0,,1,0.99389443560528,1994.0,2006.0,Great,Great
17497,illmatic,nas,10.0,1994.0,2012.0,20045,what happened to the world,the jacka,8.0,2014.0,,2,0.993158795533525,1994.0,2014.0,Great,Great
17586,folarin,wale,6.9,2012.0,,18215,the gifted,wale,5.1,2013.0,,2,0.9949395357856806,2012.0,2013.0,Good,Bad
17518,it's tha world,jeezy,7.4,2012.0,,20882,tha truth ,trae tha truth,6.7,2015.0,,1,0.9940117705698589,2012.0,2015.0,Good,Good
17518,it's tha world,jeezy,7.4,2012.0,,19786,seen it all: the autobiography,jeezy,6.0,2014.0,,2,0.993885901214796,2012.0,2014.0,Good,Bad
17543,mandatory brunch meetings,meyhem lauren,5.2,2012.0,,19297,good to be home,blu,6.5,2014.0,,2,0.9941791283236061,2012.0,2014.0,Bad,Bad
